sn,z,dz,mbstar,dmbstar,x1,dx1,c,dc,chisq,dof
ZTF18aaermez,0.02284,0.0,18.93005876091,0.0240121603586202,0.737363874118166,0.103452950844476,1.24985191620809,0.0165495548237612,876.51,125
ZTF18aaizerg,0.0685,0.0,18.5564195439389,0.0105102837504982,-0.841821328564617,0.0669225796949803,0.0939527491553062,0.00791564134125025,1844.56,574
ZTF18aajivpr,0.0515,0.0,18.7409401544112,0.0186163830335429,-0.811717223511763,0.0830152106049678,0.32631214561379,0.01308895795389,311.868,147
ZTF18aangpkx,0.0699,0.0,18.420800370376,0.00704389582477178,-1.51827951702534,0.0566778516626452,0.0883553492057644,0.00598933521422251,3682.04,456
ZTF18aanygjk,0.049,0.0,17.7229155215534,0.00585122090067751,0.97312302556345,0.0526080498680376,0.000947645235727003,0.0049747199554013,2930.05,418
ZTF18aaoufjt,0.0298,0.0,18.9480431445352,0.00941526330044808,1.0971818335452,0.0886452900509425,0.663161423517808,0.00702113717851404,2834.23,223
ZTF18aaqskoy,0.085,0.0,18.3682983826573,0.00469294855887437,0.888898987893262,0.0482449236379822,-0.0843260577410081,0.00459018339224083,1101.54,379
ZTF18aaqydat,0.04979,0.0,18.4088869464003,0.0151476777393129,-0.941867657279478,0.100996545297716,0.286939047475471,0.010840745921866,767.203,147
ZTF18aarwxum,0.09,0.0,18.8602888076373,0.00617877484827519,0.902570623536035,0.0666669583974295,-0.00591929802767683,0.00598445449130505,2483.46,867
ZTF18aatezaj,0.03419,0.0,18.6623751078027,0.00843365248856611,-0.0600262046888226,0.0467562470668821,0.72214163170487,0.00599527748017823,2616.83,241
ZTF18aatjfoe,0.081,0.0,18.3138471992862,0.00679165275506467,0.208029508303494,0.0573772464592934,-0.0652238560961232,0.00597046251388003,1262.44,264
ZTF18aatrkga,0.0285,0.0,17.0786609088501,0.00571023048574866,0.208596995867027,0.0378781451035942,0.235850852789008,0.00439634943942714,128.261,70
ZTF18aaunfqq,0.07109,0.0,18.5977980445597,0.00931165040104177,-0.991508159983362,0.0596111982829287,0.0400988024958225,0.00664078720474123,967.8,408
ZTF18aavvnzu,0.0498,0.0,17.3409763497515,0.00545051749855728,1.2537484942266,0.0455627269739695,-0.02769148474769,0.00446942151423158,1017.86,105
ZTF18aawjywv,0.04,0.0,17.7031931442528,0.00508416565707306,-1.32581640831589,0.0339280136834162,-0.0243888988129851,0.00411742657500205,3063.27,446
