sn,z,dz,mbstar,dmbstar,x1,dx1,c,dc,chisq,dof
ZTF18aaermez,0.0227125593024314,0.0,18.9312709682699,0.0810355835738719,0.642317281713681,0.372518109317656,1.24216860213475,0.0605572064457372,120.0,120
ZTF18aaizerg,0.0684597622055123,0.0,18.544905648226,0.019323650327863,-0.859380353387432,0.138042981905748,0.0828610792470629,0.0140394401412864,590.0,590
ZTF18aajivpr,0.0514498693613242,0.0,18.7442241758218,0.0260134700778808,-0.867845080865199,0.11584423865011,0.327800912198336,0.0182883313445501,148.0,148
ZTF18aangpkx,0.0699955290151989,0.0,18.4054791964867,0.0180528031989897,-1.77390462889779,0.143685903402374,0.0663353612732931,0.0155407800117768,472.0,472
ZTF18aaoufjt,0.0298286782779004,0.0,18.9434391846378,0.032621652792666,1.06421184303747,0.310939386990709,0.649958108336377,0.0245229623384049,226.0,226
ZTF18aaqskoy,0.0860841968741968,0.0,18.3758219432581,0.0142808955502467,0.507417650450849,0.140955478244079,-0.0705417343028965,0.0139508731693206,413.0,413
ZTF18aaqydat,0.0497701767550188,0.0,18.4070964931924,0.0402749820418136,-1.01973465875556,0.265638370447235,0.284385957552871,0.0288748985123822,153.0,153
ZTF18aarwxum,0.0845863855662674,0.0,18.8537830364309,0.0103818242275961,0.773387578783082,0.110171076690162,-0.002145826185776,0.0100095634780506,894.0,894
ZTF18aatezaj,0.0342071409695119,0.0,18.6606765252183,0.0299027166455326,-0.109253292736367,0.165188179997193,0.720925439480279,0.0212420597081893,249.0,249
ZTF18aatjfoe,0.0801489115840979,0.0,18.3137797190023,0.0145038039885194,0.17921962036488,0.122499103402351,-0.0640342348495767,0.0127496714766054,268.0,268
ZTF18aatrkga,0.0276322790918274,0.0,17.0788193863628,0.0230293832978719,0.205194014725494,0.15230604535393,0.237872837627207,0.0177124930951885,89.0,89
ZTF18aaunfqq,0.0710743072836472,0.0,18.5923384042995,0.0155604812898354,-1.11393362376238,0.0981749084832759,0.0339169113256078,0.0111853322273847,431.0,431
ZTF18aavvnzu,0.0501736187630478,0.0,17.3415539409395,0.023867957163555,1.24930915664499,0.19969120757246,-0.0281267956925369,0.0195790743011455,123.0,123
ZTF18aaxdrjn,0.0339240141899422,0.0,16.976437078277,0.0113108054923705,-2.15755622317799,0.0770531733876673,-0.0548646924444077,0.00935293558065917,135.0,135
ZTF18aaxkjmm,0.0714071877852748,0.0,18.4265719773486,0.00768337845737249,0.864112971276759,0.103769282645886,0.115374917037999,0.0067433373158201,338.0,338
ZTF18aaxvpsw,0.0915960368536013,0.0,18.7135247392731,0.00851900078298566,0.0372145252729576,0.0987638827699665,-0.0765523558074426,0.00847072805302309,319.0,319
ZTF18aaybfsd,0.0401747860815254,0.0,17.1021110105736,0.0391631986561669,0.423581284219234,0.348542800277853,0.0557900544883448,0.0332206640601241,241.0,241
ZTF18aaydmkh,0.0843502381540123,0.0,19.0834840184768,0.0390811019381683,-0.924993490407656,0.449190130318248,-0.0796276622068348,0.037651287486463,486.0,486
ZTF18aayjvve,0.0473073448666682,0.0,17.6657601396684,0.0134946263434217,-0.184446176545255,0.095548073235781,0.0588417126420897,0.0101759646691871,201.0,201
ZTF18abaxlpi,0.0645757290551423,0.0,18.3930439316907,0.0134019802082531,-0.0723488321717552,0.120583525442422,0.0335677685399569,0.0111352626450635,570.0,570
ZTF18abckujg,0.0735970033066499,0.0,18.5153275768557,0.00842597148850087,0.0832727843765154,0.113778054448568,0.0157853633827774,0.00798469643688253,236.0,236
ZTF18abcsgvj,0.0612006803586795,0.0,18.395959938342,0.0118277822488867,-2.03144363774238,0.096072135598667,0.014852396799284,0.010959155444197,520.0,520
ZTF18abcyilc,0.061147085080249,0.0,19.5722337560479,0.142626124909377,-0.590480858450125,1.27251403994686,0.501304988974145,0.103068728796135,17.0,17
ZTF18abcysdx,0.0711593790034103,0.0,18.9626472213662,0.0155153635188003,-0.0305396894940662,0.161915969018025,0.100712415413579,0.0121088169199496,771.0,771
ZTF18abdefet,0.0768747782176253,0.0,19.0006197781266,0.0179310540525625,0.144241027233613,0.190603440455664,0.181775028839124,0.0152179295239976,456.0,456
ZTF18abdfazk,0.0795884187228738,0.0,18.6782187240913,0.0103671374704234,-0.0448988309704733,0.141811300257839,-0.0461527915148683,0.0101569713880471,138.0,138
ZTF18abetehf,0.0649690037030866,0.0,18.0919173992616,0.0122769309552756,-1.61513666051725,0.0950419507047499,-0.113689338812954,0.0114910641458785,186.0,186
ZTF18abetejo,0.0633297497713764,0.0,18.4663406291363,0.0513777320810385,-2.73615224025617,0.38742947491437,-0.275191632733297,0.0573308333654027,53.0,53
ZTF18abfeyey,0.0812751667655051,0.0,18.5945419898242,0.0114005639055013,-0.632095727708147,0.0871634488281121,-0.0775965224140372,0.00960897644971636,382.0,382
ZTF18abfgygp,0.0672127035438301,0.0,18.0723157101178,0.00732181302152628,-0.253299278884863,0.0704832460109439,-0.0701831848064581,0.00708774495057981,933.537,848
ZTF18abfwuwn,0.0977191889884448,0.0,18.8559298566701,0.0112966007392526,0.225489192400381,0.107024991933843,-0.0626691445912048,0.0101997522117723,409.0,409
ZTF18abifioh,0.103328608436928,0.0,18.9649193155486,0.0605802672968167,-0.719989336163282,0.816448069808286,-0.0129676789882554,0.0634596971791508,80.0,80
ZTF18abjstcm,0.0786654773603669,0.0,18.9962263057176,0.0411146587984225,-0.525036354237369,0.200122127588972,0.317506566192261,0.0293714098538479,397.0,397
ZTF18abjvhec,0.056906884799491,0.0,17.5716322544525,0.00992064117863506,0.361924078573537,0.121305136025785,-0.0263315631646447,0.00816712474881845,62.0,62
ZTF18abkhcwl,0.0316330649011483,0.0,16.4274513114216,0.00708827871321625,0.118243695318264,0.0504092377486345,-0.0802700263903884,0.00519080964262469,139.0,139
ZTF18abkudjo,0.0919889384734298,0.0,18.9583413089215,0.0269719161865904,0.903938974626717,0.309437239177164,0.0186165684391237,0.021348742598398,62.0,62
ZTF18ablongw,0.0818319869615055,0.0,19.0832188012826,0.0244589655661952,-0.323584739588635,0.144860886295552,0.0344087598490198,0.0180797787576241,325.0,325
ZTF18ablqlzp,0.0416004023237614,0.0,17.4613168895998,0.0122774663864429,0.454345452462641,0.13525887047897,0.0940404081344417,0.00941411911681422,85.0,85
ZTF18ablrljh,0.0939819390156131,0.0,18.9389900735706,0.0192848371346982,-0.389734117332401,0.147493270463788,-0.0106347565421517,0.0156558171292446,245.0,245
ZTF18abmjvpb,0.066049535472766,0.0,18.2206481365897,0.0366316285016658,-0.621038624519062,0.249853622655864,-0.0448960891212776,0.0278630244937619,7.54622,17
ZTF18abmmdif,0.0763127395503839,0.0,18.4234788890251,0.0110061969698775,1.01959404994202,0.102694437793318,0.0047565560626357,0.00824424809184129,341.0,341
ZTF18abmxahs,0.0148264752413109,0.0,14.989040158317,0.0109902522423451,-0.225770040754394,0.0770344769886294,-0.0249857416200862,0.00812925292988263,28.0001,28
ZTF18abobkii,0.0597187209230007,0.0,18.9620948451832,0.0154718784586535,1.29491815867715,0.141474189260525,0.498888127346551,0.0109491286850508,144.0,144
ZTF18abpaywm,0.0437643211131778,0.0,17.8339134327135,0.00643741464599498,0.489626721612948,0.0753956747799132,0.218296203736565,0.00533001522182535,649.0,649
ZTF18abqlpgq,0.0953306614322067,0.0,18.8250633043222,0.0190367132247933,0.22626596472473,0.255364625696941,-0.0732340140928822,0.0166848788009906,87.0,87
ZTF18abqyaix,0.0582053562272341,0.0,17.9046426024256,0.0241793669567095,-0.362489496075726,0.274496935108767,-0.0119777563589792,0.027701842553162,231.0,231
ZTF18abrfccm,0.0943887270052834,0.0,18.8038223387192,0.0294628163625398,-0.940072711245304,0.311907466291443,-0.0168414864253777,0.0278744164842336,192.0,192
ZTF18abrzeym,0.0564456630078603,0.0,18.5715100627798,0.00738082045886985,0.2469852002975,0.101130782369537,0.183028382941929,0.0064886328578264,400.0,400
ZTF18abwkzuc,0.0702142170345368,0.0,18.4715662190654,0.029572013175707,-1.33472629710757,0.247671284849944,0.0248450559119436,0.0271285965783035,148.0,148
ZTF18abxhsyn,0.0377995239294839,0.0,16.5192634098956,0.0415786984431908,-0.156831854151451,0.319799529067866,-0.208435187676564,0.040492990158245,141.0,141
ZTF18acbxmvy,0.0564707375140659,0.0,17.9593655883164,0.0131184766013126,-0.288633794639233,0.206817419167695,0.000295093742360705,0.0133172451464328,96.0,96
ZTF18aceyjco,0.0820118064730389,0.0,18.6657307982249,0.0233947507479356,-0.195179811289481,0.24149284952777,-0.0468050569207963,0.0237193485595735,173.0,173
ZTF18acmyxfx,0.0620181331093024,0.0,18.7738669754172,0.076709420617172,1.15851096633622,0.459512566855655,0.248094497541777,0.0552977611656726,55.0,55
ZTF18acnbenl,0.0642533257641386,0.0,18.2333131071729,0.024036411823843,-0.28031882233691,0.154315870012371,-0.0309089896296735,0.0185568777548586,150.0,150
ZTF18acpuxuh,0.0965041626937194,0.0,18.6810177174668,0.0732671207698453,0.392437244581524,0.461089019377914,-0.0829774351507385,0.0609866061339507,43.0004,43
ZTF18acqqyah,0.0174260590828153,0.0,15.2943616629875,0.0304527930580203,-0.357744152218336,0.192806916918657,-0.0591391625180501,0.0253105358584196,121.0,121
