snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
10ctd,1,39627835551257442,21,3,20210503,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.1253405822537,1.77950296012249e-05,0.0,8897.25444507599,2899.41073384881,GALAXY,
10cua,1,39633315510094658,307,8,20210419,245.014736195832,54.4082051138142,0.0,0.0,0.0,False,north,245.007197,54.407396,0.21,PTF-iPTF,1.0,None,None,PTF10cua,PTF10cua,0.327008893512817,3.44907132209131e-05,0.0,8266.9902831614,147.923110149801,GALAXY,
10cua,2,39633315510094644,306,8,20210417,245.013567644006,54.4092724774197,0.0,0.0,0.0,False,north,245.007197,54.407396,0.21,PTF-iPTF,1.0,None,None,PTF10cua,PTF10cua,0.10756708378968,9.27154890053365e-06,0.0,7942.89459201694,340.445229798555,GALAXY,
10cwp,1,39627775660789402,36,0,20210506,179.661121907205,-0.560802600097114,0.0,0.0,0.0,False,south,179.661208,-0.560854,0.095,PTF-iPTF,1.0,None,None,PTF10cwp,PTF10cwp,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
10cwp,1,39627775660789402,445,0,20210513,179.661121907205,-0.560802600097114,0.0,0.0,0.0,False,south,179.661208,-0.560854,0.095,PTF-iPTF,1.0,None,None,PTF10cwp,PTF10cwp,0.094962895895631,2.46988225984069e-06,0.0,8687.84080791473,5375.68992137909,GALAXY,
10cwp,2,39627775660789352,43,0,20210415,179.658905924074,-0.577199968906829,0.0,0.0,0.0,False,south,179.661208,-0.560854,0.095,PTF-iPTF,1.0,None,None,PTF10cwp,PTF10cwp,0.125902325305725,1.34522698989712e-05,0.0,8139.05468843877,885.424465253949,GALAXY,
10cwp,2,39627775660789352,49,0,20210529,179.658905924074,-0.577199968906829,0.0,0.0,0.0,False,south,179.661208,-0.560854,0.095,PTF-iPTF,1.0,None,None,PTF10cwp,PTF10cwp,0.125957942152836,1.35962543727646e-05,0.0,8223.28416319191,814.352515086532,GALAXY,
10fej,1,39633308400748201,309,1,20210407,241.578508053804,53.9223789173396,0.0,0.0,0.0,False,north,241.580482,53.921347,0.11,PTF-iPTF,1.0,None,None,PTF10fej,PTF10fej,0.109772661662729,8.71738888575874e-06,2048.0,7894.75774765015,981.412574261427,GALAXY,
10fej,1,39633308400748201,310,1,20210410,241.578508053804,53.9223789173396,0.0,0.0,0.0,False,north,241.580482,53.921347,0.11,PTF-iPTF,1.0,None,None,PTF10fej,PTF10fej,0.109997567526593,9.32713884748518e-06,0.0,8749.87125018239,1641.10054180026,GALAXY,
10fej,1,39633308400748201,317,1,20210430,241.578508053804,53.9223789173396,0.0,0.0,0.0,False,north,241.580482,53.921347,0.11,PTF-iPTF,1.0,None,None,PTF10fej,PTF10fej,0.109994888861689,8.27487385828738e-06,0.0,8323.16253224015,2152.95922812819,GALAXY,
