snname,index,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zdisp
09bad,2,244.010524823129,56.3461981449855,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,0.138965756094603,6.20083526650626e-05,0.0
09bai,1,230.097568192573,26.4251553248365,0.0,0.0,0.0,False,south,230.098128,26.424681,0.18,PTF-iPTF,1.0,None,None,PTF09bai,PTF09bai,,,
09bak,1,243.922634627629,52.2531302392764,0.0,0.0,0.0,False,north,243.921029,52.251257,0.03,PTF-iPTF,1.0,None,None,PTF09bak,PTF09bak,,,
09bam,1,195.945929679919,65.6108448026627,0.0,0.0,0.0,False,north,195.945029,65.611079,0.15,PTF-iPTF,1.0,None,None,PTF09bam,PTF09bam,,,
09bau,1,199.694906095613,60.535274148103,0.0,0.0,0.0,False,north,199.696585,60.534408,0.07,PTF-iPTF,1.0,None,None,PTF09bau,PTF09bau,,,
09bc,1,162.781942285791,74.0891675712528,0.0,0.0,0.0,False,north,162.785707,74.08981,0.17,PTF-iPTF,1.0,None,None,PTF09bc,PTF09bc,,,
09bce,1,248.825666667,55.6344166667,0.0,0.0,0.0,False,north,248.825,55.6331,0.023,IIps/PTF-iPTF,2.0,None,None,PTF09bce,PTF09bce,,,
09bck,1,209.184307321091,24.4468463315167,0.0,0.0,0.0,False,south,209.18402,24.446833,0.1,PTF-iPTF,1.0,None,None,PTF09bck,PTF09bck,,,
09bcl,1,271.610206436252,17.8618002485657,0.0,0.0,0.0,False,south,271.611582,17.861958,0.062,PTF-iPTF,1.0,None,None,PTF09bcl,PTF09bcl,,,
09be,1,212.577106061924,16.8940175376701,0.0,0.0,0.0,False,south,212.577215,16.894159,0.09,PTF-iPTF,1.0,None,None,PTF09be,PTF09be,,,
09be,2,212.582807026989,16.9018438578631,0.0,0.0,0.0,False,south,212.577215,16.894159,0.09,PTF-iPTF,1.0,None,None,PTF09be,PTF09be,,,
09bgf,1,220.409817897628,19.3620092206961,0.0,0.0,0.0,False,south,220.409499,19.362168,0.031,PTF-iPTF,1.0,None,None,PTF09bgf,PTF09bgf,,,
09bh,1,186.163759594799,8.93302925113996,0.0,0.0,0.0,False,south,186.163657,8.933169,0.175,PTF-iPTF,1.0,None,None,PTF09bh,PTF09bh,,,
09bi,1,176.709757997,11.799133378907,0.0,0.0,0.0,False,south,176.709012,11.798692,0.11,PTF-iPTF,1.0,None,None,PTF09bi,PTF09bi,,,
09biq,1,350.989291667,16.7772777778,0.0,0.0,0.0,False,south,350.984363,16.774949,0.04,PTF-iPTF,1.0,None,None,PTF09biq,PTF09biq,,,
09bj,1,169.527022208962,12.8950866333728,0.0,0.0,0.0,False,south,169.526697,12.895411,0.144,PTF-iPTF,1.0,None,None,PTF09bj,PTF09bj,,,
09bjs,1,238.879627833473,53.0341372493328,0.0,0.0,0.0,False,north,238.886983,53.033824,0.066,PTF-iPTF,1.0,None,None,PTF09bjs,PTF09bjs,,,
09bjs,2,238.892185669585,53.0333289368823,0.0,0.0,0.0,False,north,238.886983,53.033824,0.066,PTF-iPTF,1.0,None,None,PTF09bjs,PTF09bjs,,,
09bw,1,226.247541667,48.6466388889,0.0,0.0,0.0,False,north,226.258517,48.6672,0.1468,PTF-iPTF,1.0,None,None,PTF09bw,PTF09bw,,,
09by,1,202.302343013172,46.7240790829474,0.0,0.0,0.0,False,north,202.303018,46.724387,0.1,PTF-iPTF,1.0,None,None,PTF09by,PTF09by,,,
09c,1,185.6949,65.84376,0.0,0.0,0.0,False,north,185.69719,65.851419,0.00922,PTF-iPTF,1.0,None,None,PTF09c,PTF09c,,,
09cbu,1,357.653233707012,26.0418347242716,0.0,0.0,0.0,False,south,357.653034,26.041857,0.057,PTF-iPTF,1.0,None,None,PTF09cbu,PTF09cbu,,,
09cex,1,356.220171990408,-9.68933416141613,0.0,0.0,0.0,False,south,356.224141,-9.691044,0.07,PTF-iPTF,1.0,None,None,PTF09cex,PTF09cex,,,
09cjq,1,319.1151,-0.82645,0.0,0.0,0.0,False,north,319.118679,-0.827698,0.02,PTF-iPTF,1.0,None,None,PTF09cjq,PTF09cjq,,,
09csl,1,264.631080667056,36.761098975764,0.0,0.0,0.0,False,north,264.629848,36.753849,0.14,PTF-iPTF,1.0,None,None,PTF09csl,PTF09csl,,,
09csn,1,246.72695407689,25.979220037055,0.0,0.0,0.0,False,south,246.726941,25.979242,0.11,PTF-iPTF,1.0,None,None,PTF09csn,PTF09csn,,,
09ct,1,175.557692326874,10.6482921033108,0.0,0.0,0.0,False,south,175.557501,10.6483,0.15,PTF-iPTF,1.0,None,None,PTF09ct,PTF09ct,,,
09cu,1,198.849588359627,46.4203821428514,0.0,0.0,0.0,False,north,198.846407,46.419045,0.06,PTF-iPTF,1.0,None,None,PTF09cu,PTF09cu,,,
09cug,1,245.546843243149,15.8685026097314,0.0,0.0,0.0,False,south,245.546757,15.868488,0.16,PTF-iPTF,1.0,None,None,PTF09cug,PTF09cug,,,
09cvi,1,326.791454158484,8.30984088830597,0.0,0.0,0.0,False,south,326.790837,8.309893,0.03,PTF-iPTF,1.0,None,None,PTF09cvi,PTF09cvi,,,
09dah,1,341.321247748673,21.8215482774918,0.0,0.0,0.0,False,south,341.321051,21.820887,0.0238,PTF-iPTF,1.0,None,None,PTF09dah,PTF09dah,,,
09ddw,1,351.886497647912,27.0631074441544,0.0,0.0,0.0,False,south,351.886446,27.063345,0.122,PTF-iPTF,1.0,None,None,PTF09ddw,PTF09ddw,,,
09dfk,1,347.306128955677,7.80454754684198,0.0,0.0,0.0,False,south,347.30593,7.804291,0.016,PTF-iPTF,1.0,None,None,PTF09dfk,PTF09dfk,,,
09dgr,1,244.281230019745,38.9721624557261,0.0,0.0,0.0,False,north,244.280682,38.972083,0.14,PTF-iPTF,1.0,None,None,PTF09dgr,PTF09dgr,,,
09dh,1,221.164738381208,49.7264732963705,0.0,0.0,0.0,False,north,221.175308,49.729149,0.07,PTF-iPTF,1.0,None,None,PTF09dh,PTF09dh,,,
09dha,1,247.06213834332,51.7839727616825,0.0,0.0,0.0,False,north,247.059687,51.78255,0.03,PTF-iPTF,1.0,None,None,PTF09dha,PTF09dha,,,
09dhu,1,347.150303474179,12.3730878692255,0.0,0.0,0.0,False,south,347.150227,12.373578,0.15,PTF-iPTF,1.0,None,None,PTF09dhu,PTF09dhu,,,
09dhx,1,336.594773903761,10.8262849512061,0.0,0.0,0.0,False,south,336.595192,10.826181,0.087,PTF-iPTF,1.0,None,None,PTF09dhx,PTF09dhx,,,
09dib,1,245.387630893947,11.6124374901442,0.0,0.0,0.0,False,south,245.387087,11.612329,0.1,PTF-iPTF,1.0,None,None,PTF09dib,PTF09dib,,,
09dic,1,353.788998080091,18.9339353988578,0.0,0.0,0.0,False,south,353.789683,18.934008,0.07,PTF-iPTF,1.0,None,None,PTF09dic,PTF09dic,,,
09dih,1,227.579728706471,43.7280965257459,0.0,0.0,0.0,False,north,227.579318,43.72831,0.119,PTF-iPTF,1.0,None,None,PTF09dih,PTF09dih,,,
09dih,2,227.570600565372,43.730332386643,0.0,0.0,0.0,False,north,227.579318,43.72831,0.119,PTF-iPTF,1.0,None,None,PTF09dih,PTF09dih,,,
09dip,1,219.537394107947,70.1819902225109,0.0,0.0,0.0,False,north,219.537472,70.182026,0.137,PTF-iPTF,1.0,None,None,PTF09dip,PTF09dip,,,
09dip,2,219.532335159878,70.1862392979565,0.0,0.0,0.0,False,north,219.537472,70.182026,0.137,PTF-iPTF,1.0,None,None,PTF09dip,PTF09dip,,,
09djc,1,266.715541667,59.2051666667,0.0,0.0,0.0,False,north,266.732903,59.201349,0.0337,PTF-iPTF,1.0,None,None,PTF09djc,PTF09djc,,,
09dkr,1,349.488385833739,11.3042707641979,0.0,0.0,0.0,False,south,349.488451,11.30401,0.11,PTF-iPTF,1.0,None,None,PTF09dkr,PTF09dkr,,,
09dlc,1,326.625057717013,6.41864512595372,0.0,0.0,0.0,False,south,326.625436,6.419234,0.068,PTF-iPTF,1.0,None,None,PTF09dlc,PTF09dlc,,,
09dmk,1,241.620782024399,18.2678853028162,0.0,0.0,0.0,False,south,241.620655,18.267895,0.039,PTF-iPTF,1.0,None,None,PTF09dmk,PTF09dmk,,,
09dmk,2,241.623746854834,18.267842669359,0.0,0.0,0.0,False,south,241.620655,18.267895,0.039,PTF-iPTF,1.0,None,None,PTF09dmk,PTF09dmk,,,
09dmn,1,340.490224897604,7.36207055148892,0.0,0.0,0.0,False,south,340.489648,7.362159,0.13,PTF-iPTF,1.0,None,None,PTF09dmn,PTF09dmn,,,
09dnl,1,260.923780365706,30.4973786326702,0.0,0.0,0.0,False,south,260.924126,30.497098,0.019,PTF-iPTF,1.0,None,None,PTF09dnl,PTF09dnl,,,
09dnp,1,229.855666667,49.5013055556,0.0,0.0,0.0,False,north,229.851529,49.49898,0.037,PTF-iPTF,1.0,None,None,PTF09dnp,PTF09dnp,,,
09dnq,1,325.661909969817,2.71302557982381,0.0,0.0,0.0,False,south,325.661708,2.7176,0.12,PTF-iPTF,1.0,None,None,PTF09dnq,PTF09dnq,,,
09dnq,2,325.655696299289,2.71769950457274,0.0,0.0,0.0,False,south,325.661708,2.7176,0.12,PTF-iPTF,1.0,None,None,PTF09dnq,PTF09dnq,,,
09dpp,1,255.565077478179,41.4670071225637,0.0,0.0,0.0,False,north,255.564882,41.467368,0.168,PTF-iPTF,1.0,None,None,PTF09dpp,PTF09dpp,,,
09dpy,1,350.615102699847,24.8437037822594,0.0,0.0,0.0,False,south,350.614123,24.842774,0.06,PTF-iPTF,1.0,None,None,PTF09dpy,PTF09dpy,,,
09dqt,1,217.118967026721,61.1599863919737,0.0,0.0,0.0,False,north,217.120119,61.160352,0.113,PTF-iPTF,1.0,None,None,PTF09dqt,PTF09dqt,,,
09dra,1,237.047287449882,41.2253225324641,0.0,0.0,0.0,False,north,237.047771,41.22451,0.077,PTF-iPTF,1.0,None,None,PTF09dra,PTF09dra,,,
09drs,1,226.627519472094,60.593214152547,0.0,0.0,0.0,False,north,226.625665,60.594271,0.045,PTF-iPTF,1.0,None,None,PTF09drs,PTF09drs,,,
09ds,1,212.319572140743,53.1036864664625,0.0,0.0,0.0,False,north,212.319493,53.103563,0.179,PTF-iPTF,1.0,None,None,PTF09ds,PTF09ds,,,
09dsj,1,204.321183260124,64.733077388871,0.0,0.0,0.0,False,north,204.311544,64.736923,0.135,PTF-iPTF,1.0,None,None,PTF09dsj,PTF09dsj,,,
09dsr,1,220.786296820369,54.6106331776599,0.0,0.0,0.0,False,north,220.783288,54.611567,0.07,PTF-iPTF,1.0,None,None,PTF09dsr,PTF09dsr,,,
09dsw,1,220.313684692232,23.9792329440942,0.0,0.0,0.0,False,south,220.314398,23.979383,0.0785,PTF-iPTF,1.0,None,None,PTF09dsw,PTF09dsw,,,
09dsy,1,53.3479166667,-4.99869444444,0.0,0.0,0.0,False,south,53.3421,-4.998677,0.0131,PTF-iPTF,1.0,None,None,PTF09dsy,PTF09dsy,,,
09dsz,1,222.119163421654,44.2454528648785,0.0,0.0,0.0,False,north,222.119275,44.245197,0.18,PTF-iPTF,1.0,None,None,PTF09dsz,PTF09dsz,,,
09dsz,2,222.109798258167,44.2452988250788,0.0,0.0,0.0,False,north,222.119275,44.245197,0.18,PTF-iPTF,1.0,None,None,PTF09dsz,PTF09dsz,,,
09due,1,246.72175,51.5551111111,0.0,0.0,0.0,False,north,246.718157,51.556643,0.029,PTF-iPTF,1.0,None,None,PTF09due,PTF09due,,,
09dxo,1,30.4484986640523,-7.09285898798025,0.0,0.0,0.0,False,south,30.447754,-7.093836,0.052,PTF-iPTF,1.0,None,None,PTF09dxo,PTF09dxo,,,
09dxv,1,347.144708333,18.9390277778,0.0,0.0,0.0,False,south,347.144705,18.937131,0.0322,PTF-iPTF,1.0,None,None,PTF09dxv,PTF09dxv,,,
09dxw,1,356.211113330026,27.6248065716352,0.0,0.0,0.0,False,south,356.211748,27.625916,0.0299,PTF-iPTF,1.0,None,None,PTF09dxw,PTF09dxw,,,
09dyc,1,335.574196311402,2.74033726696474,0.0,0.0,0.0,False,north,335.573981,2.740227,0.062,PTF-iPTF,1.0,None,None,PTF09dyc,PTF09dyc,,,
09dyc,2,335.570836149652,2.74124632430922,0.0,0.0,0.0,False,north,335.573981,2.740227,0.062,PTF-iPTF,1.0,None,None,PTF09dyc,PTF09dyc,,,
09dyg,1,331.869165289041,17.6757898641833,0.0,0.0,0.0,False,south,331.86804,17.675685,0.127,PTF-iPTF,1.0,None,None,PTF09dyg,PTF09dyg,,,
09dyh,1,359.560147187649,15.8078827111632,0.0,0.0,0.0,False,south,359.55953,15.807964,0.167,PTF-iPTF,1.0,None,None,PTF09dyh,PTF09dyh,,,
09dyh,2,359.558563791347,15.8155251179855,0.0,0.0,0.0,False,south,359.55953,15.807964,0.167,PTF-iPTF,1.0,None,None,PTF09dyh,PTF09dyh,,,
09dyi,1,340.928155810466,7.43999056430015,0.0,0.0,0.0,False,south,340.9282,7.439891,0.196,PTF-iPTF,1.0,None,None,PTF09dyi,PTF09dyi,,,
09dym,1,359.354191147736,25.393617216227,0.0,0.0,0.0,False,south,359.354377,25.393445,0.107,PTF-iPTF,1.0,None,None,PTF09dym,PTF09dym,,,
09dyp,1,331.820437561312,5.04044879334279,0.0,0.0,0.0,False,south,331.820195,5.040377,0.144,PTF-iPTF,1.0,None,None,PTF09dyp,PTF09dyp,,,
09dyw,1,328.831072876382,15.0686642604748,0.0,0.0,0.0,False,south,328.832439,15.066527,0.21,PTF-iPTF,1.0,None,None,PTF09dyw,PTF09dyw,,,
09dyw,2,328.834820883055,15.067405556234,0.0,0.0,0.0,False,south,328.832439,15.066527,0.21,PTF-iPTF,1.0,None,None,PTF09dyw,PTF09dyw,,,
09dyz,1,348.861571522126,22.5210214408186,0.0,0.0,0.0,False,south,348.862671,22.521762,0.06,PTF-iPTF,1.0,None,None,PTF09dyz,PTF09dyz,,,
09dza,1,315.881981568322,-4.3431424425484,0.0,0.0,0.0,False,south,315.881501,-4.342605,0.084,PTF-iPTF,1.0,None,None,PTF09dza,PTF09dza,,,
09dzq,1,70.1176881143636,-5.29583613517183,0.0,0.0,0.0,False,south,70.117739,-5.295867,0.091,PTF-iPTF,1.0,None,None,PTF09dzq,PTF09dzq,,,
