snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
09gck,1,39627707180386814,23852,8,20220212,57.430375,-3.25969444444,0.0,0.0,0.0,False,south,57.434622,-3.264654,0.013,PTF-iPTF,1.0,None,None,PTF09gck,PTF09gck,0.0125942307751438,1.74012637851805e-06,0.0,16947.8774409592,30910.747384876,GALAXY,
09gjj,1,39627917201771785,22835,4,20211020,342.595801857575,5.32412699103428,0.0,0.0,0.0,False,south,342.595533,5.324945,0.06,PTF-iPTF,1.0,None,None,PTF09gjj,PTF09gjj,0.0661494538093691,1.11614049328552e-05,0.0,35803.0489372984,23844.5418027863,GALAXY,
09gnm,1,39627785429324338,82266,2,20211030,41.8823221952145,-0.0527957635020835,0.0,0.0,0.0,False,north,41.881548,-0.052352,0.0855,PTF-iPTF,1.0,None,None,PTF09gnm,PTF09gnm,0.0966652620785525,5.95146586707682e-06,0.0,9554.28554293513,797.389381915331,GALAXY,
09gpu,1,39633481138964427,20004,2,20210519,176.348070400473,68.9517529681835,0.0,0.0,0.0,False,north,176.352927,68.951986,0.08,PTF-iPTF,1.0,None,None,PTF09gpu,PTF09gpu,0.0819729000813711,4.11329900475721e-06,0.0,10417.1746666431,4612.33589625359,GALAXY,
09gtt,2,39627845714057066,22237,2,20211001,35.1553271645892,2.40672490167463,0.0,0.0,0.0,False,south,35.157081,2.403673,0.041,PTF-iPTF,1.0,None,None,PTF09gtt,PTF09gtt,0.0411588055915004,2.24409789122547e-05,0.0,7443.30601252615,135.387218763644,GALAXY,
09gzj,1,39633297134846388,20637,3,20220119,193.755949028999,53.2291108440363,0.0,0.0,0.0,False,north,193.755917,53.229196,0.052,PTF-iPTF,1.0,None,None,PTF09gzj,PTF09gzj,0.0538574798315662,3.32836280739729e-05,0.0,8098.78742700489,537.629319291096,GALAXY,
09h,1,39633199193653942,24078,8,20220120,120.196920939178,46.9483371871164,0.0,0.0,0.0,False,north,120.196928,46.948476,0.121,PTF-iPTF,1.0,None,None,PTF09h,PTF09h,0.120976971841027,7.13349086693303e-06,0.0,7888.76366305351,2444.77295613289,GALAXY,
09hfl,1,39627701081868877,22283,0,20220218,53.443077076817,-3.37533711450712,0.0,0.0,0.0,False,south,53.441579,-3.375105,0.184,PTF-iPTF,1.0,None,None,PTF09hfl,PTF09hfl,0.181495855316306,2.01445900652801e-06,0.0,8424.5719833374,12643.7323169708,GALAXY,
09hfl,2,39627701081868883,23825,7,20220213,53.4433699052302,-3.37664892509703,0.0,0.0,0.0,False,south,53.441579,-3.375105,0.184,PTF-iPTF,1.0,None,None,PTF09hfl,PTF09hfl,0.181488022921332,4.29725088875487e-06,0.0,8174.88261771202,5229.14098572731,GALAXY,
09hhv,1,39628442790006501,21375,7,20220208,116.418470197664,28.2953495496605,0.0,0.0,0.0,False,south,116.419669,28.296366,0.036,PTF-iPTF,1.0,None,None,PTF09hhv,PTF09hhv,0.0358653725358053,2.77480851105039e-06,0.0,7899.0130931735,3881.71897774935,GALAXY,
09hpl,1,39627785068613749,25762,5,20211009,20.3715943384304,0.107990414795098,0.0,0.0,0.0,False,south,20.371605,0.108657,0.08,PTF-iPTF,1.0,None,None,PTF09hpl,PTF09hpl,0.0780697044278127,5.96188345415659e-06,0.0,11895.7634047866,10217.9082247531,GALAXY,
09iaf,1,39632986274008190,22726,9,20220317,215.08957912144,35.234571569535,0.0,0.0,0.0,False,north,215.091012,35.233558,0.064,PTF-iPTF,1.0,None,None,PTF09iaf,PTF09iaf,0.0634751724671203,1.36653933430594e-05,0.0,9246.54190315306,4124.21479096613,GALAXY,
09iag,1,39627927029023382,148,6,20210407,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626931089344215,1.38693944405308e-05,0.0,10687.4861128554,3015.03006646782,GALAXY,
09iag,1,39627927029023382,153,6,20210504,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.0626222070587485,1.66103778704211e-05,0.0,11906.8610905483,3388.20523212105,GALAXY,
09iag,1,39627927029023382,156,6,20210508,210.656535980425,5.74737581190396,0.0,0.0,0.0,False,south,210.659489,5.747455,0.075,PTF-iPTF,1.0,None,None,PTF09iag,PTF09iag,0.062674289755547,1.42092344388732e-05,0.0,12101.989698749,3099.2320365496,GALAXY,
09idu,1,39633300511263781,22171,9,20220218,169.828425980696,53.6176885698633,0.0,0.0,0.0,False,north,169.828158,53.617646,0.1067,PTF-iPTF,1.0,None,None,PTF09idu,PTF09idu,0.106827654934984,2.72857027411126e-05,0.0,9058.83068273216,2697.89844252169,GALAXY,
09idu,1,39633300511263781,81057,2,20210324,169.828425980696,53.6176885698633,0.0,0.0,0.0,False,north,169.828158,53.617646,0.1067,PTF-iPTF,1.0,None,None,PTF09idu,PTF09idu,0.106805276149303,3.08463938597861e-05,0.0,11523.202315405,3445.92300916836,GALAXY,
09ige,1,39632934960891645,21400,7,20211023,133.89221064323,32.6671022330945,0.0,0.0,0.0,False,north,133.892664,32.665822,0.07,PTF-iPTF,1.0,None,None,PTF09ige,PTF09ige,0.0638446787551818,2.66316751075924e-06,0.0,8256.19446003437,4817.2861212492,GALAXY,
09inv,2,39627691661460487,20083,3,20210518,211.090035953708,-4.06047196291791,0.0,0.0,0.0,False,south,211.088857,-4.060858,0.05,PTF-iPTF,1.0,None,None,PTF09inv,PTF09inv,0.054441722572651,7.25767654024391e-06,0.0,9857.88252589852,725.677618645132,GALAXY,
09k,1,39633224397227975,25321,1,20220318,186.576381505228,48.4453067012119,0.0,0.0,0.0,False,north,186.57435,48.447092,0.187,PTF-iPTF,1.0,None,None,PTF09k,PTF09k,0.192771592678919,8.44522130084903e-06,0.0,7533.98230195045,510.225028038025,GALAXY,
09pr,1,39633204503645051,20771,2,20210618,223.991991452995,47.2129365378156,0.0,0.0,0.0,False,north,223.991635,47.212915,0.031,PTF-iPTF,1.0,None,None,PTF09pr,PTF09pr,0.0310998639033302,4.513278067221e-06,0.0,9950.424409464,1614.68144910038,GALAXY,
09ps,1,39633332819987400,310,6,20210410,243.535685612622,55.6947960893799,0.0,0.0,0.0,False,north,243.535898,55.694846,0.1065,PTF-iPTF,1.0,None,None,PTF09ps,PTF09ps,0.107274170216414,8.12870284792644e-06,0.0,8940.27330234647,607.388232201338,GALAXY,
